questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
ACTAAP_2007_5_27,27,1,A,1,1,ACTAAP,5,2007,"A new substance is found. The substance is extremely lightweight. Most remarkably, it will expand and fill each of the containers below. Which type of matter is this new substance? {img:images/States2017/AR/AR_5thGr_2007_3.png} (A) gas (B) solid (C) liquid (D) colloid",science,Train
ACTAAP_2009_5_2,2,1,C,1,1,ACTAAP,5,2009,"The diagram below illustrates the process of photosynthesis. In this process, the plant uses X to make Y. During photosynthesis, the plant releases Z. {img:images/States2017/AR/AR_5thGr_2009_1.png} Which of these correctly lists X, Y, and Z in that order? (A) Energy, water, and carbon dioxide (B) Oxygen, carbon dioxide, and energy (C) Carbon dioxide, glucose, and oxygen (D) Glucose, carbon dioxide, and oxygen",science,Train
ACTAAP_2009_5_9,9,1,C,1,1,ACTAAP,5,2009,Ben found this plant in the woods. {img:images/States2017/AR/AR_5thGr_2009_4.png} Which information will Ben use to classify the plant? (A) Its mass and volume (B) What kind of soil it grows in (C) The shapes of its leaves and flowers (D) How deep its roots are in the ground,science,Train
ACTAAP_2010_5_11,11,1,A,1,1,ACTAAP,5,2010,Which drawing shows a model of a solid floating in a liquid? (A) {img:images/States2017/AR/AR_5thGr_2010_1.png} (B) {img:images/States2017/AR/AR_5thGr_2010_2.png} (C) {img:images/States2017/AR/AR_5thGr_2010_3.png} (D) {img:images/States2017/AR/AR_5thGr_2010_4.png},science,Train
ACTAAP_2013_5_12,12,1,A,1,1,ACTAAP,5,2013,"The diagram below compares and contrasts the Bald Eagle and the American Robin. {img:images/States2017/AR/AR_5thGr_2013_4.png} According to the Venn diagram, which feature does a Bald Eagle and an American Robin have in common? (A) square tail (B) sharp talons (C) curved beak (D) perching feet",science,Train
ACTAAP_2014_5_17,17,1,A,1,1,ACTAAP,5,2014,The diagram below shows fossils in different layers of rock. {img:images/States2017/AR/AR_5thGr_2014_8.png} Which layer in the diagram has the youngest fossil? (A) Layer W (B) Layer X (C) Layer Y (D) Layer Z,science,Train
ACTAAP_2014_5_7,7,1,C,1,1,ACTAAP,5,2014,An aquatic food web is shown below. {img:images/States2017/AR/AR_5thGr_2014_6.png} A scientist observes that a whale population is decreasing. Which population change is most likely causing the whale population to decrease? (A) increasing fish (B) decreasing seals (C) decreasing squid (D) increasing plankton,science,Train
ACTAAP_2015_5_1,1,1,B,1,1,ACTAAP,5,2015,The graph below shows the average height of children from birth to five years old. {img:images/States2017/AR/AR_5thGr_2015_1.png} At approximately which age is a child most likely 80 cm tall? (A) 12 months (B) 18 months (C) 48 months (D) 80 months,science,Train
ACTAAP_2015_5_9,9,1,D,1,1,ACTAAP,5,2015,"A student collected muddy water in a jar from a fast-flowing stream. After two days, the student saw four layers of sediment in the jar, as shown below. {img:images/States2017/AR/AR_5thGr_2015_3.png} Which kind of sediment is heaviest? (A) clay (B) silt (C) sand (D) gravel",science,Train
AIMS_2008_4_14,14,1,C,1,1,AIMS,4,2008,Look at the diagram of the circuit below. {img:images/States2017/AZ/AZ_Gr4_2008_5.png} Which statement best describes what will happen if Bulb 2 burns out? (A) Bulb 1 will also burn out. (B) Bulb 1 will flash on and off. (C) Bulb 1 will stay lit and become brighter. (D) Bulb 1 will stay lit but will become less bright,science,Train
AIMS_2008_4_15,15,1,A,1,1,AIMS,4,2008,Look at the diagram of the bar magnets below. {img:images/States2017/AZ/AZ_Gr4_2008_7.png} What will happen to the force between the two magnets if they are pulled farther apart? (A) The force would be weaker. (B) The force would be stronger. (C) The force would stay unchanged. (D) The force would reverse the poles.,science,Train
AIMS_2008_4_19,19,1,A,1,1,AIMS,4,2008,The map below shows the weather conditions for some of the cities in Arizona. {img:images/States2017/AZ/AZ_Gr4_2008_1.png} What type of front is moving through Arizona? (A) cold front (B) warm front (C) occluded front (D) stationary front,science,Train
AIMS_2008_4_20,20,1,A,1,1,AIMS,4,2008,The map below shows the weather conditions for some of the cities in Arizona. {img:images/States2017/AZ/AZ_Gr4_2008_1.png} Which city has snow? (A) Flagstaff (B) Kingman (C) Page (D) Phoenix,science,Train
AIMS_2008_4_4,4,1,B,1,1,AIMS,4,2008,"Students made an electromagnet by wrapping a wire in loops around an iron nail and attaching the wire to a battery, as shown below. {img:images/States2017/AZ/AZ_Gr4_2008_2.png} The students conducted a test to learn how the number of wire loops affected the number of paper clips held by the electromagnet. The table below shows the results of the test. {img:images/States2017/AZ/AZ_Gr4_2008_3.png} Based on the information in the table, which of the following is the best conclusion? (A) Adding more wire loops makes an electromagnet weaker. (B) Adding more wire loops makes an electromagnet stronger. (C) Adding more wire loops makes an electromagnet use less electricity. (D) Adding more wire loops makes an electromagnet use more electricity.",science,Train
CSZ_2008_5_42,42,1,D,1,1,California Standards Test,5,2008,The picture below shows a place where air currents will form due to the uneven heating of Earth. {img:images/States2017/CA/CA_5thGr_2008_20.png} In which direction will air currents most likely move? (A) straight down over the land (B) from the land toward the sea (C) straight up above the sea (D) from the sea toward the land,science,Train
CSZ_2008_5_52,52,1,D,1,1,California Standards Test,5,2008,The landform below is a sea arch. {img:images/States2017/CA/CA_5thGr_2008_24.png} What is responsible for shaping this arch? (A) plate tectonics (B) earthquakes (C) deposition (D) erosion,science,Train
LEAP_2001_4_10245,10245,1,D,1,1,Louisiana Educational Assessment Program,4,2001,Which drawing below would represent the flag pole's shadow at 5:00 P.M.? (A) {img:images/States2017/LA/LA_Gr4_2001_1.png} (B) {img:images/States2017/LA/LA_Gr4_2001_2.png} (C) {img:images/States2017/LA/LA_Gr4_2001_3.png} (D) {img:images/States2017/LA/LA_Gr4_2001_4.png},science,Train
LEAP_2002_4_10248,10248,1,C,1,1,Louisiana Educational Assessment Program,4,2002,"If each horse is pulling with the same force, in which direction will the rock move? {img:images/States2017/LA/LA_Gr4_2002_1.png} (A) north (B) east (C) south (D) west",science,Train
LEAP_2003_4_10254,10254,1,A,1,1,Louisiana Educational Assessment Program,4,2003,"{img:images/States2017/LA/LA_Gr4_2003_3.png} Which of these lists only living parts of this ecosystem? (A) fox, tree, grass (B) sun, steam, cloud (C) cloud, grass, rock (D) stream, cloud fox",science,Train
LEAP_2003_4_10255,10255,1,C,1,1,Louisiana Educational Assessment Program,4,2003,The spoon appears to be broken where it enters the water because {img:images/States2017/LA/LA_Gr4_2003_2.png} (A) the light is reflected by the water. (B) the light is absorbed by the water. (C) the light is bent by the water. (D) the light is dissolved by the water.,science,Train
