questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
ACTAAP_2008_5_1,1,1,A,1,0,ACTAAP,5,2008,Sir Isaac Newton determined that white light is made up of all the colors of the rainbow. What did he use to discover this phenomenon? (A) a prism (B) a telescope (C) a microscope (D) a magnifying glass,science,Train
ACTAAP_2008_5_11,11,1,A,1,0,ACTAAP,5,2008,"With a microscope, you see that an object has a cell wall, a chloroplast, and a nucleus. What is being observed? (A) a plant cell (B) an animal cell (C) a male organism (D) a female organism",science,Train
ACTAAP_2008_5_2,2,1,D,1,0,ACTAAP,5,2008,What is the best way for a marine scientist to determine the eating habits of sharks? (A) Tag one shark and monitor its eating habits for one day. (B) Tag one shark and monitor its eating habits for one year. (C) Tag several sharks and monitor their eating habits for one day. (D) Tag several sharks and monitor their eating habits for one year.,science,Train
ACTAAP_2008_5_3,3,1,D,1,0,ACTAAP,5,2008,Which would best aid a scientist in discovering how Earth may have changed over time? (A) finding the nest of a bald eagle (B) tracking the footprints of a wolf (C) analyzing the pollination of a sunflower (D) discovering a fossil of a seashell in a wooded area,science,Train
ACTAAP_2008_5_6,6,1,B,1,0,ACTAAP,5,2008,"A student is asked to make soil using the following substances: water, ore, humus, crystal, weathered rock, and metamorphic rock. Which combination of these substances should the student choose? (A) humus, crystal, and ore (B) water, weathered rock, and humus (C) water, metamorphic rock, and crystal (D) metamorphic rock, ore, and weathered rock",science,Train
ACTAAP_2008_5_7,7,1,A,1,0,ACTAAP,5,2008,What do cells break down to produce energy? (A) food (B) water (C) chlorophyll (D) carbon dioxide,science,Train
ACTAAP_2008_5_8,8,1,C,1,0,ACTAAP,5,2008,Which type of scientist would study the relationship between simple machines and energy? (A) chemist (B) biologist (C) physicist (D) geologist,science,Train
ACTAAP_2009_5_10,10,1,A,1,0,ACTAAP,5,2009,Which is a physical property of an apple? (A) what color it is (B) how pretty it is (C) how much it costs (D) when it was picked,science,Train
ACTAAP_2009_5_11,11,1,D,1,0,ACTAAP,5,2009,"If Lisa wants to experiment with bean plants, which of these is the best example of a hypothesis? (A) Bean plants come in many types. (B) Fertilizer is good for bean plants. (C) All bean plants are related to each other. (D) Fertilizer will make bean plants grow taller.",science,Train
ACTAAP_2009_5_13,13,1,D,1,0,ACTAAP,5,2009,Alan is using cabbage juice to determine the relative pH of various household solutions. Which of these steps communicates the results of his investigation? (A) Conduct multiple trials (B) Write down a procedure (C) Identify the materials to be tested (D) Record observations and data in a journal,science,Train
ACTAAP_2009_5_6,6,1,A,1,0,ACTAAP,5,2009,Which cell part is correctly paired with its function? (A) nucleus-controls cell activities (B) chloroplast-outside boundary of plant cells (C) cell wall-controls what goes in and out of cells (D) cell membrane-where photosynthesis takes place,science,Train
ACTAAP_2010_5_14,14,1,B,1,0,ACTAAP,5,2010,How are green plants an important part of the carbon dioxide-oxygen cycle? (A) They add oxygen to the soil. (B) They release oxygen into the air. (C) They fix carbon dioxide in the soil. (D) They store carbon dioxide in roots.,science,Train
ACTAAP_2010_5_16,16,1,C,1,0,ACTAAP,5,2010,"Jennifer has collected rocks while hiking. As she attempts to classify her rocks, which will she put in the pile of sedimentary rocks? (A) Black-and-gray crystalline rocks (B) Shiny rocks with smooth textures (C) Rocks with visible pieces of shells in them (D) Rocks with small interlocking crystals in them",science,Train
ACTAAP_2010_5_3,3,1,B,1,0,ACTAAP,5,2010,"During the Apollo 14 moon landing, astronauts played golf on the moon. Which of the following would be less on the moon than on Earth? (A) The mass of the golf ball (B) The weight of the golf ball (C) The mass and size of the golf ball (D) The weight and size of the golf ball",science,Train
