questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
ACTAAP_2007_7_1,1,1,D,1,0,ACTAAP,7,2007,"Which correctly arranges three scientific terms-theory, law, and hypothesis-from least to most accepted or tested? (A) theory, hypothesis, law (B) hypothesis, law, theory (C) theory, law, hypothesis (D) hypothesis, theory, law",science,Train
ACTAAP_2007_7_12,12,1,D,1,0,ACTAAP,7,2007,Which most accurately describes a circle (pie) graph? (A) used to demonstrate change in temperature only (B) used to demonstrate change that is continuous (C) used to demonstrate change that is not continuous (D) used to describe how part of the data relates to all of the data,science,Train
ACTAAP_2007_7_16,16,1,C,1,0,ACTAAP,7,2007,Which occurs as a result of Earth's tilt on its rotating axis? (A) movement of the tides (B) prevalent or trade winds (C) seasonal changes in the climate (D) light and dark changes of day and night,science,Train
ACTAAP_2007_7_20,20,1,D,1,0,ACTAAP,7,2007,Which human body system attacks viruses and bacteria once they have invaded the body? (A) circulatory (B) endocrine (C) digestive (D) immune,science,Train
ACTAAP_2007_7_21,21,1,B,1,0,ACTAAP,7,2007,Which device converts kinetic energy into electrical energy? (A) calculator (B) generator (C) electric motor (D) electromagnet,science,Train
ACTAAP_2007_7_23,23,1,B,1,0,ACTAAP,7,2007,What is a worldwide increase in temperature called? (A) greenhouse effect (B) global warming (C) ozone depletion (D) solar heating,science,Train
ACTAAP_2007_7_24,24,1,D,1,0,ACTAAP,7,2007,"Which is a true statement regarding the graphing of data? (A) It is always better to leave data in a table than to graph it. (B) Bar graphs are the best type of graphs for scientific data. (C) For any given set of data, there is only one correct graph or way to display it. (D) Data can be displayed in many types of graphs in order to show different things about the data.",science,Train
ACTAAP_2007_7_28,28,1,D,1,0,ACTAAP,7,2007,Which is an example of conduction? (A) a space heater turned on (B) water boiling on the stove (C) sunlight shining through the window (D) a metal spoon warming in a pot of hot soup,science,Train
ACTAAP_2007_7_29,29,1,A,1,0,ACTAAP,7,2007,Which is a nonrenewable natural resource that is used to make electrical energy? (A) coal (B) wind (C) water (D) thermal,science,Train
ACTAAP_2007_7_32,32,1,B,1,0,ACTAAP,7,2007,"Which is true of scientific discoveries? (A) All scientific discoveries are based solely on observation and never experimentation. (B) Sometimes scientific discoveries are made by accident, like the discovery of penicillin. (C) If a scientist cannot provide the exact time and place his or her discovery was made, it is dismissed. (D) All scientific discoveries are regulated by government agencies, like the Food and Drug Administration.",science,Train
ACTAAP_2007_7_4,4,1,A,1,0,ACTAAP,7,2007,Which is considered a nonrenewable resource? (A) oil (B) soil (C) food (D) water,science,Train
ACTAAP_2007_7_6,6,1,A,1,0,ACTAAP,7,2007,Which adaptation will warn predators not to eat an animal? (A) bright colors (B) bulging eyes (C) geometric shapes (D) poisonous secretions,science,Train
ACTAAP_2007_7_8,8,1,A,1,0,ACTAAP,7,2007,"When performing an experiment for a science fair, what should be done if the data do not support the hypothesis? (A) Check for errors and run the experiment again. (B) Change the hypothesis to match the conclusion. (C) Change the variable so the data will match the hypothesis. (D) Ignore the data and prepare the science fair display anyway.",science,Train
ACTAAP_2008_7_1,1,1,A,1,0,ACTAAP,7,2008,Which is a reason for Arkansas having multiple seasons? (A) the tilt of Earth's axis (B) the speed of Earth's orbit (C) Earth's distance from the Sun (D) Earth gravitational pull toward the Moon,science,Train
ACTAAP_2008_7_10,10,1,D,1,0,ACTAAP,7,2008,What would most likely be measure during an investigation of the water cycle? (A) wind speed (B) ozone layer (C) natural gas emissions (D) precipitation amounts,science,Train
ACTAAP_2008_7_12,12,1,C,1,0,ACTAAP,7,2008,What is the smallest structural and functional unit of the nervous system? (A) brain (B) organ (C) neuron (D) spinal cord,science,Train
ACTAAP_2008_7_14,14,1,B,1,0,ACTAAP,7,2008,"An Italian scientist named Alessandro Volta invented the Voltaic pile in 1800. It was able to produce a steady electrical current. Based on this description, what is the modern equivalent of the Voltaic pile? (A) a wire (B) a battery (C) a resistor (D) a light bulb",science,Train
