questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
ACTAAP_2007_7_11,11,1,D,1,1,ACTAAP,7,2007,"The graph below shows the amount of bacteria present during an experiment. {img:images/States2017/AR/AR_7thGr_2007_3.png} What can be concluded from this experiment? (A) At the beginning of the experiment, there are more B bacteria than A bacteria. (B) At the conclusion of the experiment, there are more A bacteria than B bacteria. (C) At the beginning of the experiment, B bacteria increased faster than A bacteria. (D) At the conclusion of the experiment, B bacteria increased faster than A bacteria.",science,Train
ACTAAP_2007_7_39,39,1,D,1,1,ACTAAP,7,2007,"You use ""teeth-b-brite"" toothpaste and recently have seen in the store a new and improved version. {img:images/States2017/AR/AR_7thGr_2007_6.png} You wonder if it really brightens your teeth better than the original formula. Which method is the best way to test its claim? (A) Let three friends try it and tell you what they think. (B) Brush your own teeth with the new one for two weeks and see what you think. (C) Write the company and ask them to explain how they came up with their new claim. (D) Take before and after photos of ten friends, half who used the original formula and half who used Formula B, and compare the photos for differences in tooth color.",science,Train
ACTAAP_2007_7_40,40,1,A,1,1,ACTAAP,7,2007,"You are hiking one day and find a grayish mineral. You take it back to class to identify and note that it is metallic-looking with square-like crystals. You test its hardness and find that it is around 6 and has a reddish streak. Then you look at the table below, which shows the characteristics of different minerals. {img:images/States2017/AR/AR_7thGr_2007_7.png} Which mineral did you most likely find? (A) hematite (B) galena (C) pyrite (D) sphalerite",science,Train
ACTAAP_2009_7_3,3,1,A,1,1,ACTAAP,7,2009,The diagram below shows an early step in the development of an embryo. {img:images/States2017/AR/AR_7thGr_2009_2.png} Individual units shown in the diagram were formed by the division of which of the following cells? (A) A fertilized egg (B) A fertilized sperm (C) An unfertilized egg (D) An unfertilized sperm,science,Train
ACTAAP_2012_7_11,11,1,D,1,1,ACTAAP,7,2012,"A student mixes a spoonful of table salt with a cup of water to form a mixture. The diagram below shows the salt, the water, and the mixture of the two. {img:images/States2017/AR/AR_7thGr_2012_3.png} Which correctly identifies the solution, the solute and the solvent? (A) Salt is the solution. Water is the solute. The mixture is the solvent. (B) Salt is the solvent. Water is the solute. The mixture is the solution. (C) Salt is the solute. Water is the solution. The mixture is the solvent. (D) Salt is the solute. Water is the solvent. The mixture is the solution.",science,Train
ACTAAP_2012_7_12,12,1,B,1,1,ACTAAP,7,2012,The table below shows adaptations of different plants. {img:images/States2017/AR/AR_7thGr_2012_4.png} Which plant most likely lives in a desert climate? (A) Plant 1 (B) Plant 2 (C) Plant 3 (D) Plant 4,science,Train
ACTAAP_2012_7_15,15,1,B,1,1,ACTAAP,7,2012,"Students investigate force, mass, and acceleration. A smaller force and a larger force are applied to two different rolling carts with different masses. The data are shown in the table below. {img:images/States2017/AR/AR_7thGr_2012_5.png} Based on the data in the table, in which trial would the cart have the greatest acceleration? (A) Trial 1 (B) Trial 2 (C) Trial 3 (D) Trial 4",science,Train
ACTAAP_2012_7_3,3,1,A,1,1,ACTAAP,7,2012,Mr. Arnold demonstrates a pendulum by tying a ball to a string. The string is tied to a pivot point on the ceiling. The ball is pulled back to position 1 and released from rest. It travels along an arc to position 5 and then back to position 1. {img:images/States2017/AR/AR_7thGr_2012_1.png} Which statement about the potential and kinetic energy of the ball is accurate? (A) The kinetic energy of the ball is greatest at position 3. (B) The kinetic energy of the ball is greatest at position 5. (C) The potential energy of the ball is greater at 4 than at 1. (D) The potential energy of the ball is greatest at position 3.,science,Train
ACTAAP_2012_7_7,7,1,D,1,1,ACTAAP,7,2012,A student sets up two identical aquariums to model the greenhouse effect in Earth's atmosphere. Each aquarium contains a thermometer and has a bright light shining into the aquarium. The aquarium on the left is used as a control. {img:images/States2017/AR/AR_7thGr_2012_2.png} Which should be done to the aquarium on the right to demonstrate the greenhouse effect? (A) Fill the aquarium with water. (B) Fill the aquarium with nitrogen gas. (C) Line the aquarium with black paper. (D) Cover the aquarium with clear plastic wrap.,science,Train
ACTAAP_2013_7_11,11,1,B,1,1,ACTAAP,7,2013,The diagram below shows a flower with labels pointing to different structures. One structure has been left unlabeled. {img:images/States2017/AR/AR_7thGr_2013_3.png} What is the function of the unlabeled structure on this flower diagram? (A) attracts pollinators (B) receives sperm cells (C) produces food for the plant (D) protects the bud before blooming,science,Train
ACTAAP_2013_7_12,12,1,B,1,1,ACTAAP,7,2013,The graph below shows the solubility of two solutes. {img:images/States2017/AR/AR_7thGr_2013_4.png} At what temperature is the solubility of solutes A and B the same? (A) 35°C (B) 45°C (C) 55°C (D) 65°C,science,Train
ACTAAP_2014_7_1,1,1,C,1,1,ACTAAP,7,2014,"A student investigates the relationship between the length of a launch tube and the distance an object travels. The student tests five launch tubes that are identical except for length. Each tube is used to launch a marshmallow. The distances the marshmallows travel are measured. The diagram below shows the set-up. {img:images/States2017/AR/AR_7thGr_2014_1.png} The collected data are shown in the table below. {img:images/States2017/AR/AR_7thGr_2014_2.png} Which conclusion is best supported by the data? (A) Large objects travel longer distances than small objects. (B) Large objects travel shorter distances than small objects. (C) As the length of the tube increases, the distance an object travels increases. (D) As the length of the tube increases, the distance an object travels decreases.",science,Train
ACTAAP_2014_7_16,16,1,B,1,1,ACTAAP,7,2014,"A student investigates the effect of mass and force on acceleration. The student uses the setup shown in the diagram below. {img:images/States2017/AR/AR_7thGr_2014_5.png} When the student releases the cart, the rubber band pulls the cart toward the wall. The student changes the mass of the cart by adding bricks. The student changes the force on the cart by using more rubber bands. The student performs four tests as described in the table below. {img:images/States2017/AR/AR_7thGr_2014_6.png} In which test is the acceleration of the cart most likely the greatest? (A) Test 1 (B) Test 2 (C) Test 3 (D) Test 4",science,Train
ACTAAP_2014_7_17,17,1,C,1,1,ACTAAP,7,2014,"As part of a science fair experiment, a student measures the heights of five plants. The data are shown in the table below. {img:images/States2017/AR/AR_7thGr_2014_7.png} Which set of numbers best represents the mean and the range for the plant heights (cm)? (A) mean: 10, range: 20 (B) mean: 15, range: 25 (C) mean: 20, range: 10 (D) mean: 25, range: 15",science,Train
ACTAAP_2015_7_3,3,1,B,1,1,ACTAAP,7,2015,"A student gives a push to a 100 gram cart on a level surface and measures the acceleration of the cart. Each time the student gives the cart a push, it is with a different amount of force. The results are shown in the table below. {img:images/States2017/AR/AR_7thGr_2015_1.png} How do the results support Newton's second law of motion? (A) Acceleration depends on the mass of an object. (B) Acceleration depends on the amount of force given to an object. (C) The amount of force given to an object depends on the mass of the object. (D) The amount of force given to an object depends on the acceleration of the object.",science,Train
ACTAAP_2015_7_5,5,1,B,1,1,ACTAAP,7,2015,The graph below represents the distribution of electricity production by energy resource in 2013. {img:images/States2017/AR/AR_7thGr_2015_2.png} Which energy sources most likely make up the 'Other' 5% in the graph? (A) oil and wood (B) wind and solar (C) oil and gasoline (D) biomass and gasoline,science,Train
AIMS_2008_8_1,1,1,B,1,1,AIMS,8,2008,"After a baseball is thrown up into the air, it will eventually fall back down to Earth. Which graph best demonstrates the relationship between time and distance from Earth as the baseball falls? (A) {img:images/States2017/AZ/AZ_Gr8_2008_1.png} (B) {img:images/States2017/AZ/AZ_Gr8_2008_2.png} (C) {img:images/States2017/AZ/AZ_Gr8_2008_3.png} (D) {img:images/States2017/AZ/AZ_Gr8_2008_4.png}",science,Train
AIMS_2008_8_18,18,1,C,1,1,AIMS,8,2008,Students in Ms. Barrett's science class visited a vehicle crash-test facility. The students observed four different types of vehicles crash against a guard-rail barrier at the end of a 45-meter track as shown in the diagram below. They recorded information about each crash test in the table below. {img:images/States2017/AZ/AZ_Gr8_2008_5.png} Two of Ms. Barrett's students would like to design safer automobiles when they grow up. Which subject is least important for an automobile designer to study? (A) forces and motion (B) human health and biology (C) properties of rocks and minerals (D) properties of metals and plastics,science,Train
LEAP_2000_8_3,3,1,B,1,1,Louisiana Educational Assessment Program,8,2000,Use the pictures below of an animal cell and a plant cell to answer question 3. {img:images/States2017/LA/LA_Gr8_2000_1.png} Features of plant cells that clearly make them different from animal cells are (A) a larger nucleus and fewer chromosomes. (B) a rigid cell wall and chloroplasts. (C) more cytoplasm and smaller vacuoles. (D) a changing size and indefinite shape.,science,Train
LEAP_2001_8_10382,10382,1,D,1,1,Louisiana Educational Assessment Program,8,2001,Use the food web below to answer the question. {img:images/States2017/LA/LA_Gr8_2001_1.png} Which of these are not represented in the food web? (A) producers (B) primary consumers (C) secondary consumer (D) decomposers,science,Train
LEAP_2004_8_10402,10402,1,B,1,1,Louisiana Educational Assessment Program,8,2004,A force acting on an object that is free to move will cause a change in the speed of the object. Which graph shows how the speed of an object would change if a single constant force were applied to the object over a period of time? (A) {img:images/States2017/LA/LA_Gr8_2004_1.png} (B) {img:images/States2017/LA/LA_Gr8_2004_2.png} (C) {img:images/States2017/LA/LA_Gr8_2004_3.png} (D) {img:images/States2017/LA/LA_Gr8_2004_4.png},science,Train
LEAP_2006_8_10415,10415,1,B,1,1,Louisiana Educational Assessment Program,8,2006,"Use the diagram below to answer the following question. {img:images/States2017/LA/LA_Gr8_2006_1.png} On the Atlantic Ocean floor, there is a long ridge of underwater mountains caused by volcanic eruptions. New volcanoes keep erupting, and new mountains keep forming. Why is this happening? (A) A new continent is forming. (B) The ocean floor is spreading. (C) Earth's center is becoming hotter. (D) Crustal plates are colliding.",science,Train
LEAP_2007_8_10420,10420,1,B,1,1,Louisiana Educational Assessment Program,8,2007,"Use the food chain below to answer the following question. {img:images/States2017/LA/LA_Gr8_2007_1.png} What do the arrows in the food chain indicate about the flow of energy in an ecosystem? (A) Energy is continuously recycled by the organisms in an ecosystem. (B) Energy flows in one direction in an ecosystem, from producers to consumers. (C) More of the available energy in an ecosystem is given to large animals than to small animals. (D) Organisms at the end of the food chain receive more energy than those at the beginning.",science,Train
LEAP__7_10357,10357,1,A,1,1,Louisiana Educational Assessment Program,7,?,"Use the data table and picture to answer the question. {img:images/States2017/LA/LA_no_year_7thGr_2.png} To model an animal breathing in an enclosed environment, Jackie lit a candle and placed a glass over the candle with the open end down. She measured how long it took for the candle flame to go out. She repeated her experiment with three other glasses, each time using the same candle. Jackie's results are shown in the data table. Based on the data, which statement is most likely true? (A) Glass 3 is the largest glass. (B) Glass 4 is the hottest glass. (C) Glass 1 is the coldest glass. (D) Glass 2 is the smallest glass.",science,Train
LEAP__7_10361,10361,1,C,1,1,Louisiana Educational Assessment Program,7,?,Use this diagram to answer the question. {img:images/States2017/LA/LA_no_year_7thGr_4.png} What is the main purpose of the mitochondria shown by the arrow? (A) cell reproduction (B) cellular digestion (C) energy production (D) protein manufacture,science,Train
LEAP__8_1,1,1,D,1,1,Louisiana Educational Assessment Program,8,?,"Climate Feedback Loops Climate feedback loops are an important area of research for scientists. What is a climate feedback loop? A climate feedback loop happens when a change in our climate causes an environmental impact that produces further climate change. Climate feedback loops can be both negative and positive: Negative feedback loop: A negative feedback loop occurs when an environmental impact offsets the climate change such that they balance out. Under global warming, the impact would create a cooling effect, offsetting the warming trend. Positive feedback loop: A positive feedback loop occurs when an environmental impact increases the climate change such that the first change is amplified. Under global warming, the impact would add to climate warming by creating further heating. {img:images/States2017/LA/LA_no_year_8thGr_11.png} Why are feedback loops so important to climate change? Feedback loops have the ability to greatly affect climate change. The big question is what overall effect the world's positive and negative feedback loops will have on climate change. The more we understand about them, the more confidence we have in our climate projections for the future. The better our projections, the better we can understand climate change and prepare for it. Which climate feedback loops are well understood? Some types of feedback loops are fairly well understood, such as those involving water vapor and albedo. Scientists use these feedback loops to improve their predictions about climate change through the use of computer models. This means that scientists have taken into consideration the effect these feedback loops will have as the climate warms in the future. Water Vapor (Positive Feedback) As air gets warmer, its ability to hold moisture increases. Our atmosphere is getting warmer because of climate change and, as a result, it is holding more water vapor. Water vapor is a powerful greenhouse gas-when in the atmosphere, it helps the Earth hold on to more energy from the Sun. So a warming climate means more water vapor, which in turn warms the climate further. Albedo (Positive Feedback) Albedo is the percentage of light reflected by a surface, which is a very important consideration in climate science. A surface with a high albedo, such as snow or sand, will reflect more sunlight back out to space. The lower the albedo, the more energy and heat is absorbed. Global warming is causing ice and snow to melt, revealing the land or ocean underneath. Ice and snow reflect a lot of sunlight-certainly more than land and the oceans. So as the ice melts, more of the Sun's energy is absorbed and so the planet gets warmer still-which in turn melts even more snow and ice. Which climate feedback loops are less well understood? Other feedbacks, such as the global carbon cycle, are not as easy to understand. They are being included in models, but more research is needed to fully understand these processes. The models are updated as new information becomes available. Global Carbon Cycle (Currently Negative Feedback) For every ton of carbon dioxide (CO2) released into the atmosphere, within a year, about half of that will be absorbed by the ocean and land-for example, through trees and plants. This process helps reduce the effect of CO2 emissions on global warming. However, if large quantities of carbon dioxide continue to be emitted, it could decrease the benefit of this cycle, which would have a huge impact on the future of the climate. Global warming could affect the carbon cycle in two areas, the ocean and the land: 1. Ocean changes can result in positive climate change feedback loops, for two reasons: As the ocean absorbs CO2, it becomes more acidic. Acidic water cannot absorb as much additional CO2. As the temperature of the ocean increases, its capacity to absorb CO2 is also reduced. {img:images/States2017/LA/LA_no_year_8thGr_12.png} The illustration above is a simplified carbon cycle, showing current CO2 absorption rates of the land and oceans. 2. Land changes can result in positive or negative climate change feedback loops. Examples include: Negative feedback: As temperatures increase, the areas in which trees can grow will extend north to higher latitudes. New trees will absorb CO2, taking it out of the atmosphere. Positive feedback: As temperatures increase, soils, plants, and trees in tropical zones will become more heat stressed. This could cause the release of the huge amounts of carbon they store, threatening the future of important ecologies such as the Amazon Rain Forest. A lot of research continues to go on in this area. Advances in understanding will enable us to improve our confidence in projections resulting from climate models. Which model best shows how increased melting of snow and ice affects climate change? (A) {img:images/States2017/LA/LA_no_year_8thGr_13.png} (B) {img:images/States2017/LA/LA_no_year_8thGr_14.png} (C) {img:images/States2017/LA/LA_no_year_8thGr_15.png} (D) {img:images/States2017/LA/LA_no_year_8thGr_16.png}",science,Train
LEAP__8_2,2,1,C,1,1,Louisiana Educational Assessment Program,8,?,"Climate Feedback Loops Climate feedback loops are an important area of research for scientists. What is a climate feedback loop? A climate feedback loop happens when a change in our climate causes an environmental impact that produces further climate change. Climate feedback loops can be both negative and positive: Negative feedback loop: A negative feedback loop occurs when an environmental impact offsets the climate change such that they balance out. Under global warming, the impact would create a cooling effect, offsetting the warming trend. Positive feedback loop: A positive feedback loop occurs when an environmental impact increases the climate change such that the first change is amplified. Under global warming, the impact would add to climate warming by creating further heating. {img:images/States2017/LA/LA_no_year_8thGr_11.png} Why are feedback loops so important to climate change? Feedback loops have the ability to greatly affect climate change. The big question is what overall effect the world's positive and negative feedback loops will have on climate change. The more we understand about them, the more confidence we have in our climate projections for the future. The better our projections, the better we can understand climate change and prepare for it. Which climate feedback loops are well understood? Some types of feedback loops are fairly well understood, such as those involving water vapor and albedo. Scientists use these feedback loops to improve their predictions about climate change through the use of computer models. This means that scientists have taken into consideration the effect these feedback loops will have as the climate warms in the future. Water Vapor (Positive Feedback) As air gets warmer, its ability to hold moisture increases. Our atmosphere is getting warmer because of climate change and, as a result, it is holding more water vapor. Water vapor is a powerful greenhouse gas-when in the atmosphere, it helps the Earth hold on to more energy from the Sun. So a warming climate means more water vapor, which in turn warms the climate further. Albedo (Positive Feedback) Albedo is the percentage of light reflected by a surface, which is a very important consideration in climate science. A surface with a high albedo, such as snow or sand, will reflect more sunlight back out to space. The lower the albedo, the more energy and heat is absorbed. Global warming is causing ice and snow to melt, revealing the land or ocean underneath. Ice and snow reflect a lot of sunlight-certainly more than land and the oceans. So as the ice melts, more of the Sun's energy is absorbed and so the planet gets warmer still-which in turn melts even more snow and ice. Which climate feedback loops are less well understood? Other feedbacks, such as the global carbon cycle, are not as easy to understand. They are being included in models, but more research is needed to fully understand these processes. The models are updated as new information becomes available. Global Carbon Cycle (Currently Negative Feedback) For every ton of carbon dioxide (CO2) released into the atmosphere, within a year, about half of that will be absorbed by the ocean and land-for example, through trees and plants. This process helps reduce the effect of CO2 emissions on global warming. However, if large quantities of carbon dioxide continue to be emitted, it could decrease the benefit of this cycle, which would have a huge impact on the future of the climate. Global warming could affect the carbon cycle in two areas, the ocean and the land: 1. Ocean changes can result in positive climate change feedback loops, for two reasons: As the ocean absorbs CO2, it becomes more acidic. Acidic water cannot absorb as much additional CO2. As the temperature of the ocean increases, its capacity to absorb CO2 is also reduced. {img:images/States2017/LA/LA_no_year_8thGr_12.png} The illustration above is a simplified carbon cycle, showing current CO2 absorption rates of the land and oceans. 2. Land changes can result in positive or negative climate change feedback loops. Examples include: Negative feedback: As temperatures increase, the areas in which trees can grow will extend north to higher latitudes. New trees will absorb CO2, taking it out of the atmosphere. Positive feedback: As temperatures increase, soils, plants, and trees in tropical zones will become more heat stressed. This could cause the release of the huge amounts of carbon they store, threatening the future of important ecologies such as the Amazon Rain Forest. A lot of research continues to go on in this area. Advances in understanding will enable us to improve our confidence in projections resulting from climate models. What is the main way scientists measure the extent of snow and ice cover in the Arctic and Antarctic? (A) data collected from boats (B) photographs taken from helicopters (C) images taken by satellites (D) estimates developed by computer models",science,Train
